country_name,country_code,year,export_value_usd
Egypt,EGY,2020,176411.03
Egypt,EGY,2021,375132.11
Egypt,EGY,2022,186835.047
Egypt,EGY,2023,241759.769
Egypt,EGY,2024,225755.238
El Salvador,SLV,2018,477529.378
El Salvador,SLV,2019,501742.484
El Salvador,SLV,2020,385510.567
El Salvador,SLV,2021,808546.113
El Salvador,SLV,2022,963479.473
El Salvador,SLV,2023,631851.212
El Salvador,SLV,2024,683442.937
Equatorial Guinea,GNQ,2019,23943.198
Equatorial Guinea,GNQ,2020,2774.394
Equatorial Guinea,GNQ,2021,59546.244
Equatorial Guinea,GNQ,2022,80160.168
Equatorial Guinea,GNQ,2024,17357.001
Eritrea,ERI,2018,2843.737
Eritrea,ERI,2019,1157.585
Eritrea,ERI,2020,23826.209
Eritrea,ERI,2022,3829.938
Eritrea,ERI,2024,50694.097
Estonia,EST,2018,17485174.219
Estonia,EST,2019,18458500.282
Estonia,EST,2020,16936770.121
Estonia,EST,2021,21661097.524
Estonia,EST,2022,24757409.174
Estonia,EST,2023,25045448.833
Estonia,EST,2024,23081626.455
Ethiopia,ETH,2018,190561.099
Ethiopia,ETH,2019,295041.947
Ethiopia,ETH,2020,288949.317
Ethiopia,ETH,2021,303791.58
Ethiopia,ETH,2022,193195.461
Ethiopia,ETH,2023,525154.868
Ethiopia,ETH,2024,239199.474
FS Micronesia,FSM,2021,23803.831
Falkland Isds (Malvinas),FLK,2023,2049.004
Fiji,FJI,2018,117952.505
Fiji,FJI,2019,147718.569
Fiji,FJI,2020,20926.173
Fiji,FJI,2021,25807.394
Fiji,FJI,2022,283158.458
Fiji,FJI,2023,156495.251
Fiji,FJI,2024,193571.853
Finland,FIN,2018,45919463.068
Finland,FIN,2019,45521613.912
Finland,FIN,2020,51458513.447
Finland,FIN,2021,55943064.323
Finland,FIN,2022,50158786.018
Finland,FIN,2023,51051805.951
Finland,FIN,2024,49453410.654
France,FRA,2018,224913669.492
France,FRA,2019,231625750.874
France,FRA,2020,214783343.343
France,FRA,2021,273574060.831
France,FRA,2022,302368956.998
France,FRA,2023,341897583.127
France,FRA,2024,313332801.44
French Polynesia,PYF,2018,49180.829
French Polynesia,PYF,2019,40009.445
French Polynesia,PYF,2020,23276.812
French Polynesia,PYF,2021,42725.311
French Polynesia,PYF,2022,53440.112
French Polynesia,PYF,2023,61538.241
French Polynesia,PYF,2024,32754.477
Gabon,GAB,2018,57310.517
Gabon,GAB,2019,44151.673
Gabon,GAB,2020,21574.94
Gabon,GAB,2021,46103.217
Gabon,GAB,2022,75118.171
Gabon,GAB,2023,45228.385
Gabon,GAB,2024,131783.904
Gambia,GMB,2018,2565.032
Gambia,GMB,2019,23472.999
Georgia,GEO,2018,749667.237
Georgia,GEO,2019,917219.151
Georgia,GEO,2020,850472.288
Georgia,GEO,2021,957868.26
Georgia,GEO,2022,1308942.606
Georgia,GEO,2023,2582070.546
Georgia,GEO,2024,2267925.293
Germany,DEU,2018,1226593760.018
Germany,DEU,2019,1158467671.467
Germany,DEU,2020,1223899461.474
Germany,DEU,2021,1330274822.96
Germany,DEU,2022,1218926082.264
Germany,DEU,2023,1285155231.438
Germany,DEU,2024,1188202718.906
Ghana,GHA,2018,834472.725
Ghana,GHA,2019,933162.251
Ghana,GHA,2020,624471.677
Ghana,GHA,2021,1234709.919
Ghana,GHA,2022,1034173.786
Ghana,GHA,2023,1502124.317
Ghana,GHA,2024,1293913.954
Gibraltar,GIB,2018,187946.467
Gibraltar,GIB,2019,195056.399
Gibraltar,GIB,2020,91358.547
Gibraltar,GIB,2021,199595.706
Gibraltar,GIB,2022,193690.394
Gibraltar,GIB,2023,189891.314
Gibraltar,GIB,2024,112947.303
Greece,GRC,2018,22349423.364
Greece,GRC,2019,20480888.262
Greece,GRC,2020,13347025.134
Greece,GRC,2021,21662368.97
Greece,GRC,2022,25261577.267
Greece,GRC,2023,30087762.308
Greece,GRC,2024,33640104.024
Grenada,GRD,2018,161614.736
Grenada,GRD,2019,112406.635
Grenada,GRD,2020,90862.834
Grenada,GRD,2021,81059.107
Grenada,GRD,2022,166326.925
Grenada,GRD,2023,144976.497
Grenada,GRD,2024,112866.616
Guam,GUM,2018,218443.423
Guam,GUM,2019,232102.471
Guam,GUM,2020,107449.804
Guam,GUM,2021,186702.654
Guam,GUM,2022,237340.312
Guam,GUM,2023,181301.716
Guam,GUM,2024,130222.57
Guatemala,GTM,2018,1025240.491
Guatemala,GTM,2019,1139376.916
Guatemala,GTM,2020,1155526.57
Guatemala,GTM,2021,2173068.878
Guatemala,GTM,2022,2350120.219
Guatemala,GTM,2023,2112050.646
Guatemala,GTM,2024,2868560.956
Guinea,GIN,2018,3677.491
Guinea,GIN,2019,1155.346
Guinea,GIN,2020,71037.738
Guinea,GIN,2021,12842.194
Guinea,GIN,2022,49364.814
Guinea,GIN,2023,34305.41
Guinea,GIN,2024,1798.153
Guyana,GUY,2018,67495.064
Guyana,GUY,2019,101073.723
Guyana,GUY,2020,37804.403
Guyana,GUY,2021,57005.717
Guyana,GUY,2022,137750.344
Guyana,GUY,2023,82904.109
Guyana,GUY,2024,119664.181
Haiti,HTI,2018,72103.146
Haiti,HTI,2019,64031.009
Haiti,HTI,2020,96431.039
Haiti,HTI,2021,18974.703
Haiti,HTI,2022,61967.7
Haiti,HTI,2023,88453.179
Haiti,HTI,2024,65796.071
Holy See (Vatican City State),VAT,2018,372074.91
Holy See (Vatican City State),VAT,2019,337898.333
Holy See (Vatican City State),VAT,2020,219734.524
Holy See (Vatican City State),VAT,2021,310919.955
Holy See (Vatican City State),VAT,2022,337552.632
Holy See (Vatican City State),VAT,2023,418219.564
Holy See (Vatican City State),VAT,2024,276112.967
Honduras,HND,2018,701484.314
Honduras,HND,2019,598958.337
Honduras,HND,2020,459494.029
Honduras,HND,2021,814164.13
Honduras,HND,2022,558380.089
Honduras,HND,2023,1149640.479
Honduras,HND,2024,655398.658
Hungary,HUN,2018,8957397.918
Hungary,HUN,2019,10961614.988
Hungary,HUN,2020,9356890.192
Hungary,HUN,2021,11129811.038
Hungary,HUN,2022,12897243.634
Hungary,HUN,2023,13669005.394
Hungary,HUN,2024,16786331.919
Iceland,ISL,2018,5447577.83
Iceland,ISL,2019,6022135.684
Iceland,ISL,2020,6051370.399
Iceland,ISL,2021,7481624.897
Iceland,ISL,2022,7802216.318
Iceland,ISL,2023,8240727.678
Iceland,ISL,2024,8847956.808
India,IND,2018,2754258.709
India,IND,2019,1945390.679
India,IND,2020,1832836.233
India,IND,2021,3647666.918
India,IND,2022,5233764.367
India,IND,2023,3796044.345
India,IND,2024,2720307.601
Indonesia,IDN,2018,3920541.718
Indonesia,IDN,2019,1136423.619
Indonesia,IDN,2020,1395240.386
Indonesia,IDN,2021,3034561.544
Indonesia,IDN,2022,5284585.547
Indonesia,IDN,2023,7206848.899
Indonesia,IDN,2024,4384169.633
Iran,IRN,2019,2751.783
Iran,IRN,2021,1777.659
Iran,IRN,2023,1138.576
Iran,IRN,2024,1404.152
Iraq,IRQ,2018,268208.825
Iraq,IRQ,2019,326668.417
Iraq,IRQ,2020,580330.37
Iraq,IRQ,2021,340163.21
Iraq,IRQ,2022,767609.268
Iraq,IRQ,2023,310338.15
Iraq,IRQ,2024,283294.054
Ireland,IRL,2018,41163192.09
Ireland,IRL,2019,39348189.507
Ireland,IRL,2020,42699053.442
Ireland,IRL,2021,48181050.729
Ireland,IRL,2022,48014480.995
Ireland,IRL,2023,51934359.024
Ireland,IRL,2024,61159781.844
Israel,ISR,2018,9186687.223
Israel,ISR,2019,10617516.747
Israel,ISR,2020,13474485.07
Israel,ISR,2021,16520619.548
Israel,ISR,2022,15096407.226
Israel,ISR,2023,16019769.875
Israel,ISR,2024,18049654.545
Jamaica,JAM,2018,1173825.762
Jamaica,JAM,2019,993758.569
Jamaica,JAM,2020,669680.937
Jamaica,JAM,2021,1149223.815
Jamaica,JAM,2022,1793301.801
Jamaica,JAM,2023,1446274.631
Jamaica,JAM,2024,1201717.72
Japan,JPN,2018,190617398.968
Japan,JPN,2019,204098038.23
Japan,JPN,2020,175826361.573
Japan,JPN,2021,183339137.269
Japan,JPN,2022,209852805.175
Japan,JPN,2023,198525060.972
Japan,JPN,2024,192924049.34
Jordan,JOR,2018,801545.366
Jordan,JOR,2019,887554.081
Jordan,JOR,2020,942301.42
Jordan,JOR,2021,857254.908
Jordan,JOR,2022,1370196.339
Jordan,JOR,2023,1111540.898
Jordan,JOR,2024,854155.397
Kazakhstan,KAZ,2018,3229617.494
Kazakhstan,KAZ,2019,3135101.263
Kazakhstan,KAZ,2020,3187637.17
Kazakhstan,KAZ,2021,4619305.824
Kazakhstan,KAZ,2022,5326985.497
Kazakhstan,KAZ,2023,7962907.6
Kazakhstan,KAZ,2024,8625421.072
Kenya,KEN,2018,1104501.4
Kenya,KEN,2019,1406107.294
Kenya,KEN,2020,847724.165
Kenya,KEN,2021,1413585.198
Kenya,KEN,2022,1800183.474
Kenya,KEN,2023,1999144.576
Kenya,KEN,2024,2180948.525
Kuwait,KWT,2019,16913.725
Kuwait,KWT,2020,15571.558
Kuwait,KWT,2023,20911.735
Kuwait,KWT,2024,280137.855
Kyrgyzstan,KGZ,2018,66846.72
Kyrgyzstan,KGZ,2019,48619.681
Kyrgyzstan,KGZ,2020,23363.619
Kyrgyzstan,KGZ,2021,55581.698
Kyrgyzstan,KGZ,2022,169427.1
Kyrgyzstan,KGZ,2023,250550.483
Kyrgyzstan,KGZ,2024,1584019.196
Lao People's Dem. Rep.,LAO,2018,244605.097
Lao People's Dem. Rep.,LAO,2019,277692.728
Lao People's Dem. Rep.,LAO,2020,205892.251
Lao People's Dem. Rep.,LAO,2021,103220.112
Lao People's Dem. Rep.,LAO,2022,225536.69
Lao People's Dem. Rep.,LAO,2023,422826.85
Lao People's Dem. Rep.,LAO,2024,910799.328
Latvia,LVA,2018,40791739.543
Latvia,LVA,2019,46018473.045
Latvia,LVA,2020,53246909.119
Latvia,LVA,2021,51594318.625
Latvia,LVA,2022,80003061.382
Latvia,LVA,2023,97624215.52
Latvia,LVA,2024,85969636.053
Lebanon,LBN,2018,2570558.953
Lebanon,LBN,2019,2124264.4
Lebanon,LBN,2020,924920.624
Lebanon,LBN,2021,954492.719
Lebanon,LBN,2022,1807550.602
Lebanon,LBN,2023,2467251.712
Lebanon,LBN,2024,2854254.319
Liberia,LBR,2021,1810.775
Liberia,LBR,2022,22593.158
Liberia,LBR,2023,25699.593
Liberia,LBR,2024,20434.61
Libya,LBY,2018,8206.449
Libya,LBY,2019,1913.262
Libya,LBY,2020,54825.408
Libya,LBY,2021,27988.367
Libya,LBY,2022,12941.968
Libya,LBY,2024,47622.775
Lithuania,LTU,2018,25938829.123
Lithuania,LTU,2019,24614854.23
Lithuania,LTU,2020,25373978.942
Lithuania,LTU,2021,32941172.17
Lithuania,LTU,2022,39282516.458
Lithuania,LTU,2023,43452098.642
Lithuania,LTU,2024,40347484.835
Luxembourg,LUX,2018,14566266.903
Luxembourg,LUX,2019,13619691.673
Luxembourg,LUX,2020,13089188.093
Luxembourg,LUX,2021,17929065.74
Luxembourg,LUX,2022,16175131.288
Luxembourg,LUX,2023,16635010.638
Luxembourg,LUX,2024,17640624.587
Madagascar,MDG,2018,36226.945
Madagascar,MDG,2019,54585.609
Madagascar,MDG,2020,31028.897
Madagascar,MDG,2021,21251.478
Madagascar,MDG,2022,52091.157
Madagascar,MDG,2023,60222.337
Madagascar,MDG,2024,73146.914
Malawi,MWI,2024,20966.931
Malaysia,MYS,2018,4150655.329
Malaysia,MYS,2019,3838494.125
Malaysia,MYS,2020,3798027.855
Malaysia,MYS,2021,3878718.786
Malaysia,MYS,2022,6252211.925
Malaysia,MYS,2023,5703480.042
Malaysia,MYS,2024,4614256.786
Maldives,MDV,2018,1581633.978
Maldives,MDV,2019,1969474.936
Maldives,MDV,2020,536965.757
Maldives,MDV,2021,2365655.666
Maldives,MDV,2022,2536327.649
Maldives,MDV,2023,1770528.708
Maldives,MDV,2024,2331129.97
Mali,MLI,2019,1468.812
Mali,MLI,2020,7071.335
Mali,MLI,2021,18246.135
Mali,MLI,2022,7312.37
Mali,MLI,2023,8645.824
Mali,MLI,2024,13689.439
Malta,MLT,2018,15558395.806
Malta,MLT,2019,15516678.738
Malta,MLT,2020,14068765.08
Malta,MLT,2021,18624485.108
Malta,MLT,2022,17954506.521
Malta,MLT,2023,18054786.619
Malta,MLT,2024,19559900.91
Mauritius,MUS,2018,650558.035
Mauritius,MUS,2019,615076.082
Mauritius,MUS,2020,324878.235
Mauritius,MUS,2021,634626.516
Mauritius,MUS,2022,1328158.638
Mauritius,MUS,2023,1447039.088
Mauritius,MUS,2024,1397884.112
Mexico,MEX,2018,42272560.202
