Threshold,Interaction_Coef,Std_Error,T_Stat,P_Value,Significant
"$6,000",10.100948305246156,2.863001648192608,3.528097272183832,4.571540528165465e-4,***
"$8,000",10.962245084226097,2.9326180652118348,3.7380404950326356,2.0688185060891998e-4,***
"$10,000",11.334272083381403,3.137625089706308,3.612372976161511,3.3406756207067116e-4,***
