brics_member,n_countries,n_obs,avg_gdp,avg_italian_share,avg_market_size,brics_label
0,91,538,31729.06870239379,17.495222724538532,441219126.81479555,Non-BRICS
1,12,77,11100.017348235495,16.942101813473688,330750326.8336753,BRICS
