Group,N,Countries,Threshold_Coef,Std_Error,T_Stat,P_Value,Significant
BRICS Core (5),32,"Brazil, China, India, Russian Federation, South Africa",1.351347538156217,1.5536887166562565,0.8697672343688609,0.3848449643021725,
BRICS Partners (4),25,"Indonesia, Malaysia, Thailand, Viet Nam",31.946172784982114,13.83477999997018,2.3091204041590085,0.021343668798933027,**
Non-BRICS,558,94 countries,10.695003490297378,3.364709161247314,3.1785818558929138,0.0015716388578279638,***
