Country,Market_size_M_USD,Italian_share_pct,Italian_exports_M_USD
Australia,296482,0,0
Austria,204403,0,0
Belgium,366891,0,0
Brazil,277549,0,0
Canada,540565,0,0
China,2585135,0,0
"China, Hong Kong SAR",697904,0,0
Czechia,229397,0,0
Denmark,123216,0,0
France,762045,0,0
Germany,1376916,0,0
Greece,89273,0,0
Ireland,144552,0,0
Japan,742672,0,0
Mexico,625874,0,0
