BRICS_Definition,Coefficient,Std_Error,T_Stat,P_Value,Significant
Core (5 countries),3.4206228795989415,2.854637584267635,1.1982687043884457,0.23138008849499653,
Threshold-Relevant (6 countries),3.8887414624228,4.328402978944472,0.8984240795830688,0.3693919327479729,
Full Sphere,8.420229241713589,6.568627126571681,1.2818857090626639,0.20047681670728146,
